,jobid,jobsposition,jobskills,usersposition,jobskills_no,common_skills_no,match_score,userskills,userid
66,3015,Sr Backend Developer (Python),"aws, continuos deployment, continuous integration, postgresql, python, sql",Python Backend Developer,6,1,94.37458870652156,"javascript, postgresql, data integration - enterprise, django, selenium, accounting, ipython, php",681176
15,3015,Sr Backend Developer (Python),"aws, continuos deployment, continuous integration, postgresql, python, sql",Backend Developer | Python,6,6,112.90170554357681,"sql, javascript, python, html, bootstrap, postgresql, css, node.js, mongodb, docker, data analysis, rest api, shell script, django, mysql, microservices, continuous integration, redis, cloud computing, api, celery, flask, nosql, rabbit mq, continuos deployment, rds, integration test, unit testing, continuous delivery, ec2, linux, git flow, jquery, git, aws, drf, pytest, djangorest framework, djangorest framework",634620
48,3015,Sr Backend Developer (Python),"aws, continuos deployment, continuous integration, postgresql, python, sql",Python Backend Developer,6,2,98.19811811828627,"sql, javascript, python, socket.io, docker, bash script, nginx, selenium, redis, celery, flask, rabbit mq, ubuntu server, gunicorn, sqlalchemy, linux, jquery",680930
65,3015,Sr Backend Developer (Python),"aws, continuos deployment, continuous integration, postgresql, python, sql",Python Software Engineer ,6,6,94.73120991187089,"sql, scrum, python, uml, postgresql, pl/sql, mongodb, google analytics, github, bitbucket, software development, docker, devops, data analysis, oracle db, agile methodologies, agile project management, entrepreneurship, rest api, shell script, team leadership, django, my sql, continuous integration, gamification, business intelligence, open source, google app engine, management, strategic planning, cassandra, heroku, flask, nosql, pentaho, continuos deployment, tornado, digital ocean, team management, solr, business management, project management, amazon ec2, java, jquery, git, aws",640107
59,3015,Sr Backend Developer (Python),"aws, continuos deployment, continuous integration, postgresql, python, sql",Backend Developer(Python),6,1,95.64623551300667,"python, spring boot, django, django rest, java, git",663469
60,3015,Sr Backend Developer (Python),"aws, continuos deployment, continuous integration, postgresql, python, sql",Senior Full Stack Developer,6,5,95.48663808187784,"sql, sql server, scrum, javascript, python, uml, java patterns, c++, html, jsf, jsp, jpa, pl/sql, itil, oop, junit, j2ee, web services, agile, xsd, react.js, oracle db, soa, agile methodologies, agile project management, rest api, bpm, team leadership, mysql, database design, problem solving, e-commerce, continuous integration, leadership, mba, architecture, jstl, cvs, cloud computing, usability testing, nosql, object oriented analysis and design, continuos deployment, product management, oracle forms, oracle reports, enterprise architecture, algorithms, bluemix, jax-ws, people management, ibm integration bus, web applications, full stack, linux, filenet, ibm filenet, backend development, project management, angular, java, aws",677086
61,3015,Sr Backend Developer (Python),"aws, continuos deployment, continuous integration, postgresql, python, sql",Senior Full Stack Developer,6,5,95.34969346836597,"sql, javascript, mvc, html, json, postgresql, css, materialize, mongodb, design patterns, oop, pdo, less / sass, apache, ionic framework, jira, single-­page applications, databases, rest api, vue.js, team leadership, mysql, microservices, continuous integration, firebase, amazon web services, startups, code review, clean code, webpack, continuos deployment, material ui, team player, es6, bugs, object oriented design, unit testing, jquery ui, cryptography and network security, data structures, web applications, sdlc practices, customer relationship, crossplatform, angular, php, jquery, git, aws, experience working for a startup company, flutter, ci/cd, flutter",669522
62,3015,Sr Backend Developer (Python),"aws, continuos deployment, continuous integration, postgresql, python, sql",Senior Full Stack Developer,6,5,95.2514230281144,"sql, sql server, scrum, javascript, python, wordpress, mvc, html, json, postgresql, css, agile development methodology, pl/sql, node.js, less, agile, docker, web api, react.js, npm, agile methodologies, rest api, mysql, problem solving, go lang, continuous integration, tfs, typescript, express.js, redis, elasticsearch, continuos deployment, nosql databases, redux, c#, test-driven development (tdd), es6, ASP.Net Core, unit testing, continuous delivery, kubernetes, asp.net ajax control toolkit, angular, php, jquery, git, .net, react native",645380
64,3015,Sr Backend Developer (Python),"aws, continuos deployment, continuous integration, postgresql, python, sql",Python Backend Developer,6,1,94.79125537318822,"javascript, python, css, mariadb, realm, c#, ec2, java, jquery, git, mysql, mysql",654106
72,3015,Sr Backend Developer (Python),"aws, continuos deployment, continuous integration, postgresql, python, sql",Developer Back End in Python,6,2,93.9595207136546,"javascript, python, postgresql, programming, django, my sql, flask, web programmer",646697
81,2957,Sr Backend Engineer (Java),"clean code, ddd, distributed systems development, java, microservices, startups",Senior Java Engineer,6,2,87.97027099244079,"javascript, spring, bootstrap, postgresql, hibernate, design patterns, scala, junit, docker, jenkins, devops, rest api, microservices, selenium, redis, google app engine, cassandra, api, thymeleaf, nosql, spark, mockito, activemq, oauth2, ldap, gradle, apache tomcat, kafka, swagger, liquibase, kubernetes, web applications, java, jquery, aws",676401
80,2957,Sr Backend Engineer (Java),"clean code, ddd, distributed systems development, java, microservices, startups",Senior Java Engineer,6,2,88.00115902332882,"android, tdd, scrum, spring, html5, json, postgresql, hibernate, netbeans, soap, tomcat, web services, docker, oracle db, spring boot, gradle, ant, maven knowledge, nginx, spring data, my sql, microservices, spring jdbc, rabbit mq, oauth2, kotlin, kafka, spring cloud, intellij, swagger, linux, android studio, angular, php, java, git, aws",664509
86,2957,Sr Backend Engineer (Java),"clean code, ddd, distributed systems development, java, microservices, startups",Backend Software Engineer,6,2,87.33257788051549,"javascript, spring, scala, software development, agile, clojure, databases, microservices, go lang, rabbit mq, lua, kotlin, nosql databases, reactivex (rxjava, rxphp, rxswift), reactor, c#, test-driven development (tdd), backend development, corona sdk, ci/cd automation, java, git, aws, .net",672916
88,2957,Sr Backend Engineer (Java),"clean code, ddd, distributed systems development, java, microservices, startups",Backend Software Engineer,6,2,87.14942769736531,"sql, spring, postgresql, hibernate, jpa, spring batch, oracle db, spring boot, rest api, spring data, microservices, rabbit mq, spring integration, test automation, mesos, integration test, unit testing, linux, relational database, java, aws",664437
90,2957,Sr Backend Engineer (Java),"clean code, ddd, distributed systems development, java, microservices, startups",Backend Engineer,6,2,86.56334711128473,"ddd, javascript, spring, postgresql, mongodb, design patterns, rest api, shell script, redis, architecture, rabbit mq, php, java",641563
91,2957,Sr Backend Engineer (Java),"clean code, ddd, distributed systems development, java, microservices, startups",Back-End Software Engineer,6,2,86.52874902874902,"tdd, sql, scrum, javascript, unity, wordpress, testing, html, json, unity 2d, css, agile development methodology, automation, node.js, mongodb, windows, excel, xml, oop, cordova, visual studio, github, agile, ionic framework, docker, test planning and test script, jira, bash script, devops, data analysis, agile methodologies, rest api, game development, database design, microservices, computer engineer, continuous integration, ASP.Net MVC, typescript, gitlab, firebase, game design, architecture, sonar, computer science, sublime text, facebook graph api, cost-benefit analysis, cost control, startups, nosql, documentation, google cloud message, product management, xcode, production support, hybrid app, deploy, test automation, test case, microsoft excel, product owner, algorithms, nosql databases, c#, google api's, game mechanics, mobile company, test-driven development (tdd), ASP.Net Core, bootstrap - basic, linq, partnership, git repository, unit testing, continuous delivery, latex, youtube api, google play services, sublime text 3, oriented object, unity3d - basic, mobile hibrid dev, experience in the technology industry., unity ios, mobile development, cordova framework, tdd - intermediate, json, linux, backend development, graphql, angular, automated testing, git, .net, automation anywhere, experience working for a startup company, wordpress",671992
77,2957,Sr Backend Engineer (Java),"clean code, ddd, distributed systems development, java, microservices, startups",Senior Java Backend Developer,6,2,88.96218574187117,"sql, spring, java patterns, json, postgresql, hibernate, jpa, soap, mongodb, xml, jboss, github, junit, tomcat, web services, maven, docker, oracle db, spring boot, rest api, mysql, microservices, object orientation, gitlab, jvm, oracle pl/sql, gradle, xml/schema design, oriented object, java, git",661036
74,2957,Sr Backend Engineer (Java),"clean code, ddd, distributed systems development, java, microservices, startups",Java Backend Software Engineer,6,1,90.59040639625874,"ruby on rails, scrum, spring, html, node.js, mongodb, junit, docker, jenkins, spring boot, mysql, chef, elasticsearch, cassandra, rabbit mq, cucumber, swagger, netflix oss, java, git",644350
98,2957,Sr Backend Engineer (Java),"clean code, ddd, distributed systems development, java, microservices, startups",Software Engineer (Java),6,1,85.54451131755236,"sql, scrum, python, spring, jsp, hibernate, ejb, jpa, mongodb, windows, xml, junit, j2ee, tomcat, jboss application server, web services, maven, struts, software development, subversion, docker, jenkins, mac os, kanban, oracle db, soa, spring boot, rest api, jms, adf, test-driven development (tdd), semantic web, hudson, kubernetes, eclipse, angular, java, git",637286
99,2957,Sr Backend Engineer (Java),"clean code, ddd, distributed systems development, java, microservices, startups",Software Engineer (Java),6,1,85.46284162608231,"tdd, sql, spring, html, bootstrap, postgresql, hibernate, css, junit, maven, agile, docker, databases, spring boot, rest api, spring data, heroku, nosql, mockito, couchbase, nosql databases, teamcity, test-driven development (tdd), spring jpa, travis ci, linux, ci/cd automation, java, git",680905
